finest_ngc,catalog,name,con,type,ra_h,dec_deg,mag,source,best_instant_utc,best_date,iso
56,NGC 3521,MCG 0-28-30,Leo,Gal,11.0969,-0.0350,9.9,RASC Finest NGC Checklist v2.1a,2026-04-23 20:18,2026-04-24,2026-W17-5
57,NGC 3607,MCG 3-29-20,Leo,Gal,11.2818,18.0531,10.9,RASC Finest NGC Checklist v2.1a,2026-04-26 18:53,2026-04-27,2026-W18-1
58,NGC 3628,Arp 317,Leo,Gal,11.3380,13.5911,10,RASC Finest NGC Checklist v2.1a,2026-04-27 16:15,2026-04-28,2026-W18-2
59,NGC 4111,MCG 7-25-26,CVn,Gal,12.1176,43.0653,11.7,RASC Finest NGC Checklist v2.1a,2026-05-09 20:10,2026-05-10,2026-W19-7
60,NGC 4214,MCG 6-27-42,CVn,Gal,12.2609,36.3281,10.2,RASC Finest NGC Checklist v2.1a,2026-05-12 00:54,2026-05-12,2026-W20-2
63,NGC 4490,Cocoon Galaxy,CVn,Gal,12.5101,41.6436,9.8,RASC Finest NGC Checklist v2.1a,2026-05-15 19:57,2026-05-16,2026-W20-6
65,NGC 4656,Hockey Stick or Crowbar,CVn,Gal,12.7327,32.1703,9.7,RASC Finest NGC Checklist v2.1a,2026-05-19 04:35,2026-05-19,2026-W21-2
67,NGC 5033,MCG 6-29-62,CVn,Gal,13.2243,36.5936,10.7,RASC Finest NGC Checklist v2.1a,2026-05-26 12:34,2026-05-27,2026-W22-3
68,NGC 4274,MCG 5-29-60,Com,Gal,12.3307,29.6142,11.3,RASC Finest NGC Checklist v2.1a,2026-05-13 02:29,2026-05-13,2026-W20-3
69,NGC 4414,MCG 5-29-85,Com,Gal,12.4409,31.2228,11,RASC Finest NGC Checklist v2.1a,2026-05-14 18:45,2026-05-15,2026-W20-5
70,NGC 4494,MCG 4-30-2,Com,Gal,12.5233,25.7750,10.7,RASC Finest NGC Checklist v2.1a,2026-05-16 00:45,2026-05-16,2026-W20-6
73,NGC 4725,MCG 4-30-22,Com,Gal,12.8407,25.5008,9.9,RASC Finest NGC Checklist v2.1a,2026-05-20 19:29,2026-05-21,2026-W21-4
75,NGC 4361,,Crv,PN,12.4086,-18.7850,10.9,RASC Finest NGC Checklist v2.1a,2026-05-14 06:58,2026-05-14,2026-W20-4
76,NGC 4216,MCG 2-31-72,Vir,Gal,12.2651,13.1500,11,RASC Finest NGC Checklist v2.1a,2026-05-12 02:27,2026-05-12,2026-W20-2
77,NGC 4388,MCG 2-32-41,Vir,Gal,12.4297,12.6622,11.9,RASC Finest NGC Checklist v2.1a,2026-05-14 14:40,2026-05-15,2026-W20-5
78,NGC 4438,The Eyes with 4435,Vir,Gal,12.4628,13.0089,10.9,RASC Finest NGC Checklist v2.1a,2026-05-15 02:44,2026-05-15,2026-W20-5
79,NGC 4517,often mislabeled NGC 4437,Vir,Gal,12.5460,0.1150,11.1,RASC Finest NGC Checklist v2.1a,2026-05-16 09:00,2026-05-16,2026-W20-6
80,NGC 4526,MCG 1-32-100,Vir,Gal,12.5675,7.6992,10.6,RASC Finest NGC Checklist v2.1a,2026-05-16 16:48,2026-05-17,2026-W20-7
81,NGC 4535,Lost Galaxy,Vir,Gal,12.5723,8.1978,10.5,RASC Finest NGC Checklist v2.1a,2026-05-16 18:33,2026-05-17,2026-W20-7
82a,NGC 4567,Siamese Twins,Vir,Gal,12.6091,11.2578,12.1,RASC Finest NGC Checklist v2.1a,2026-05-17 07:54,2026-05-17,2026-W20-7
82b,NGC 4568,Siamese Twins,Vir,Gal,12.6095,11.2386,11.7,RASC Finest NGC Checklist v2.1a,2026-05-17 08:02,2026-05-17,2026-W20-7
83,NGC 4699,MCG -1-33-13,Vir,Gal,12.8173,-8.6644,10.4,RASC Finest NGC Checklist v2.1a,2026-05-20 11:04,2026-05-20,2026-W21-3
84,NGC 4762,MCG 2-33-33,Vir,Gal,12.8822,11.2306,11.1,RASC Finest NGC Checklist v2.1a,2026-05-21 10:24,2026-05-21,2026-W21-4
85,NGC 5746,MCG 0-38-5,Vir,Gal,14.7489,1.9547,11.4,RASC Finest NGC Checklist v2.1a,2026-06-17 17:26,2026-06-18,2026-W25-4
86,NGC 5466,,Boo,GC,14.0908,28.5350,9.2,RASC Finest NGC Checklist v2.1a,2026-06-08 05:04,2026-06-08,2026-W24-1
