asterism,member_count,hull_member_count,hull_members,geometry_method,centroid_ra_h,centroid_dec_deg,area_sr,area_sq_deg,best_instant_utc,best_date,iso
Big Dipper,7,5,Beta Ursae Majoris; Gamma Ursae Majoris; Eta Ursae Majoris; Zeta Ursae Majoris; Alpha Ursae Majoris,spherical-convex-hull-area-centroid,12.31127249,56.64517044,0.036641185786,120.285917,2025-05-12 13:37,2025-05-13,2025-W20-2
Little Dipper,7,6,Polaris; Beta Ursae Minoris; Gamma Ursae Minoris; Eta Ursae Minoris; Epsilon Ursae Minoris; Delta Ursae Minoris,spherical-convex-hull-area-centroid,15.62421287,79.96985786,0.018386435956,60.359109,2025-06-30 03:02,2025-06-30,2025-W27-1
Cassiopeia's W,5,4,Beta Cassiopeiae; Alpha Cassiopeiae; Delta Cassiopeiae; Epsilon Cassiopeiae,spherical-convex-hull-area-centroid,0.93663705,60.27213262,0.010496626589,34.458392,2025-11-23 05:38,2025-11-23,2025-W47-7
Orion's Belt,3,3,Mintaka; Alnilam; Alnitak,spherical-convex-hull-area-centroid,5.60542514,-1.14800025,0.000037456554,0.122963,2025-01-26 09:46,2025-01-26,2025-W04-7
Orion's Sword,3,3,Theta Orionis; Iota Orionis; 42 Orionis,spherical-convex-hull-area-centroid,5.58940877,-5.37931310,0.000005516962,0.018111,2025-01-26 04:13,2025-01-26,2025-W04-7
Water Jar,4,3,Gamma Aquarii; Eta Aquarii; Pi Aquarii,spherical-convex-hull-area-centroid,22.45717389,-0.04257231,0.001267559424,4.161152,2025-10-16 17:42,2025-10-17,2025-W42-5
Great Square of Pegasus,4,4,Markab; Algenib; Alpheratz; Scheat,spherical-convex-hull-area-centroid,23.63356449,21.93132736,0.063174600602,207.389980,2025-11-04 02:53,2025-11-04,2025-W45-2
Sickle of Leo,6,4,Epsilon Leonis; Alpha Leonis; Gamma Leonis; Mu Leonis,spherical-convex-hull-area-centroid,10.11412408,20.07852438,0.017482335714,57.391123,2025-04-07 16:47,2025-04-08,2025-W15-2
Keystone of Hercules,4,4,Zeta Herculis; Epsilon Herculis; Pi Herculis; Eta Herculis,spherical-convex-hull-area-centroid,16.91601313,34.89008074,0.011282947692,37.039732,2025-07-19 02:43,2025-07-19,2025-W29-6
Northern Cross,5,4,Beta Cygni; Epsilon Cygni; Alpha Cygni; Delta Cygni,spherical-convex-hull-area-centroid,20.13209060,37.76123906,0.055236060522,181.329290,2025-09-08 06:05,2025-09-08,2025-W37-1
Teapot of Sagittarius,8,6,Gamma Sagittarii; Epsilon Sagittarii; Zeta Sagittarii; Tau Sagittarii; Sigma Sagittarii; Lambda Sagittarii,spherical-convex-hull-area-centroid,18.59680598,-29.51830996,0.021032972985,69.047177,2025-08-14 02:26,2025-08-14,2025-W33-4
Scorpius's Fishhook,13,8,Gamma Scorpii; Zeta Scorpii; Nu Scorpii; Iota Scorpii; Kappa Scorpii; Lambda Scorpii; Alpha Scorpii; Delta Scorpii,spherical-convex-hull-area-centroid,16.42499764,-33.35752516,0.093876062398,308.176934,2025-07-11 19:43,2025-07-12,2025-W28-6
Circlet of Pisces,7,7,Gamma Piscium; Kappa Piscium; Lambda Piscium; TX Piscium; Iota Piscium; Theta Piscium; 7 Piscium,spherical-convex-hull-area-centroid,23.52563543,3.74411864,0.007852105252,25.776941,2025-11-02 11:29,2025-11-02,2025-W44-7
Head of Cetus,5,5,Xi Ceti; Gamma Ceti; Alpha Ceti; Lambda Ceti; Mu Ceti,spherical-convex-hull-area-centroid,2.78766380,6.76066559,0.011712313025,38.449256,2025-12-18 18:08,2025-12-19,2025-W51-5
Hyades / V of Taurus,5,5,Gamma Tauri; Theta Tauri; Aldebaran; Epsilon Tauri; Delta Tauri,spherical-convex-hull-area-centroid,4.46151396,17.06831166,0.002157216366,7.081724,2025-01-10 06:33,2025-01-10,2025-W02-5
Pleiades,7,5,Electra; Merope; Atlas; Pleione; Taygeta,spherical-convex-hull-area-centroid,3.77840997,24.16998876,0.000086868449,0.285172,2024-12-31 22:08,2025-01-01,2025-W01-3
Summer Triangle,3,3,Vega; Altair; Deneb,spherical-convex-hull-area-centroid,19.70399953,31.51605834,0.127348954140,418.061955,2025-09-01 03:19,2025-09-01,2025-W36-1
Winter Triangle,3,3,Betelgeuse; Sirius; Procyon,spherical-convex-hull-area-centroid,6.77633067,-1.34189429,0.093234250149,306.069988,2025-02-12 19:32,2025-02-13,2025-W07-4
Winter Hexagon / Winter Circle,6,6,Aldebaran; Rigel; Sirius; Procyon; Pollux; Capella,spherical-convex-hull-area-centroid,6.19752301,14.35492646,0.590359036456,1938.034394,2025-02-04 02:00,2025-02-04,2025-W06-2
Spring Triangle,3,3,Denebola; Spica; Arcturus,spherical-convex-hull-area-centroid,13.16054640,7.89631944,0.162860638099,534.639937,2025-05-25 08:08,2025-05-25,2025-W21-7
Great Diamond,4,4,Beta Leonis; Alpha Virginis; Alpha Bootis; Alpha Canum Venaticorum,spherical-convex-hull-area-centroid,13.09630033,14.77610795,0.275510201353,904.446638,2025-05-24 09:15,2025-05-24,2025-W21-6
False Cross,4,4,Avior; Aspidiske; Markeb; Alsephina,spherical-convex-hull-area-centroid,8.93528135,-57.34741928,0.008660436597,28.430536,2025-03-19 07:18,2025-03-19,2025-W12-3
Southern Cross,4,4,Delta Crucis; Alpha Crucis; Beta Crucis; Gamma Crucis,spherical-convex-hull-area-centroid,12.50515550,-59.84748009,0.003875107662,12.721228,2025-05-15 12:23,2025-05-16,2025-W20-5
