asterism,member,resolved_object,ra_h,dec_deg,mag,coordinate_source,coordinate_source_id,magnitude_source,magnitude_source_id,override
Orion's Sword,Theta Orionis,Theta1 Orionis C,5.5879070000,-5.3896960000,5.13,Pinned HYG v4.1; positional cross-match 0.023 arcsec from CDS Sesame/SIMBAD * tet01 Ori C,HIP 26221,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 26221,Theta1 Orionis C
Orion's Sword,Iota Orionis,Hatysa,5.5905510000,-5.9099010000,2.75,Pinned HYG v4.1,HIP 26241,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 26241,
Water Jar,Zeta Aquarii,Zeta Aquarii,22.4805310000,-0.0199720000,3.65,Pinned HYG v4.1; positional cross-match 0.127 arcsec from CDS Sesame/SIMBAD * zet Aqr,HIP 110960,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 110960,
Water Jar,Pi Aquarii,Pi Aquarii,22.4212840000,1.3774010000,4.8,Pinned HYG v4.1,HIP 110672,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 110672,
Water Jar,Eta Aquarii,Eta Aquarii,22.5892720000,-0.1174980000,4.04,Pinned HYG v4.1,HIP 111497,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 111497,
Water Jar,Gamma Aquarii,Sadachbia,22.3609380000,-1.3873310000,3.86,Pinned HYG v4.1,HIP 110395,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 110395,
Great Square of Pegasus,Scheat,Scheat,23.0629010000,28.0827890000,2.44,Star Almanack expanded-bayer-stars.csv,HIP 113881,Star Almanack expanded-bayer-stars.csv,HIP 113881,
Great Square of Pegasus,Alpheratz,Alpheratz,0.1397910000,29.0904320000,2.07,Star Almanack expanded-bayer-stars.csv,HIP 677,Star Almanack expanded-bayer-stars.csv,HIP 677,
Great Square of Pegasus,Markab,Markab,23.0793480000,15.2052640000,2.49,Star Almanack expanded-bayer-stars.csv,HIP 113963,Star Almanack expanded-bayer-stars.csv,HIP 113963,
Great Square of Pegasus,Algenib,Algenib,0.2205980000,15.1835960000,2.83,Pinned HYG v4.1,HIP 1067,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 1067,
Sickle of Leo,Alpha Leonis,Regulus,10.1395320000,11.9672070000,1.36,Star Almanack expanded-bayer-stars.csv,HIP 49669,Star Almanack expanded-bayer-stars.csv,HIP 49669,
Sickle of Leo,Eta Leonis,Eta Leonis,10.1222090000,16.7626640000,3.48,Pinned HYG v4.1,HIP 49583,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 49583,
Sickle of Leo,Gamma Leonis,Algieba,10.3328730000,19.8414890000,2.01,Pinned HYG v4.1; positional cross-match 0.110 arcsec from CDS Sesame/SIMBAD * gam Leo,HIP 50583,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 50583,
