asterism,member,resolved_object,ra_h,dec_deg,mag,coordinate_source,coordinate_source_id,magnitude_source,magnitude_source_id,override
Summer Triangle,Deneb,Deneb,20.6905320000,45.2803380000,1.25,Star Almanack expanded-bayer-stars.csv,HIP 102098,Star Almanack expanded-bayer-stars.csv,HIP 102098,
Winter Triangle,Sirius,Sirius,6.7524810000,-16.7161160000,-1.44,Star Almanack expanded-bayer-stars.csv,HIP 32349,Star Almanack expanded-bayer-stars.csv,HIP 32349,
Winter Triangle,Betelgeuse,Betelgeuse,5.9195290000,7.4070630000,0.45,Star Almanack expanded-bayer-stars.csv,HIP 27989,Star Almanack expanded-bayer-stars.csv,HIP 27989,
Winter Triangle,Procyon,Procyon,7.6550330000,5.2249930000,0.4,Star Almanack expanded-bayer-stars.csv,HIP 37279,Star Almanack expanded-bayer-stars.csv,HIP 37279,
Winter Hexagon / Winter Circle,Rigel,Rigel,5.2422980000,-8.2016400000,0.18,Star Almanack expanded-bayer-stars.csv,HIP 24436,Star Almanack expanded-bayer-stars.csv,HIP 24436,
Winter Hexagon / Winter Circle,Aldebaran,Aldebaran,4.5986770000,16.5093010000,0.87,Star Almanack expanded-bayer-stars.csv,HIP 21421,Star Almanack expanded-bayer-stars.csv,HIP 21421,
Winter Hexagon / Winter Circle,Capella,Capella,5.2781500000,45.9979910000,0.08,Star Almanack expanded-bayer-stars.csv,HIP 24608,Star Almanack expanded-bayer-stars.csv,HIP 24608,
Winter Hexagon / Winter Circle,Pollux,Pollux,7.7552770000,28.0261990000,1.16,Star Almanack expanded-bayer-stars.csv,HIP 37826,Star Almanack expanded-bayer-stars.csv,HIP 37826,
Winter Hexagon / Winter Circle,Procyon,Procyon,7.6550330000,5.2249930000,0.4,Star Almanack expanded-bayer-stars.csv,HIP 37279,Star Almanack expanded-bayer-stars.csv,HIP 37279,
Winter Hexagon / Winter Circle,Sirius,Sirius,6.7524810000,-16.7161160000,-1.44,Star Almanack expanded-bayer-stars.csv,HIP 32349,Star Almanack expanded-bayer-stars.csv,HIP 32349,
Spring Triangle,Arcturus,Arcturus,14.2610300000,19.1824100000,-0.05,Star Almanack expanded-bayer-stars.csv,HIP 69673,Star Almanack expanded-bayer-stars.csv,HIP 69673,
Spring Triangle,Spica,Spica,13.4198830000,-11.1613220000,0.98,Star Almanack expanded-bayer-stars.csv,HIP 65474,Star Almanack expanded-bayer-stars.csv,HIP 65474,
Spring Triangle,Denebola,Denebola,11.8176630000,14.5720600000,2.14,Star Almanack expanded-bayer-stars.csv,HIP 57632,Star Almanack expanded-bayer-stars.csv,HIP 57632,
Great Diamond,Alpha Bootis,Arcturus,14.2610300000,19.1824100000,-0.05,Star Almanack expanded-bayer-stars.csv,HIP 69673,Star Almanack expanded-bayer-stars.csv,HIP 69673,
Great Diamond,Alpha Virginis,Spica,13.4198830000,-11.1613220000,0.98,Star Almanack expanded-bayer-stars.csv,HIP 65474,Star Almanack expanded-bayer-stars.csv,HIP 65474,
Great Diamond,Alpha Canum Venaticorum,Cor Caroli,12.9338070000,38.3183800000,2.89,Pinned HYG v4.1; positional cross-match 0.466 arcsec from CDS Sesame/SIMBAD * alf02 CVn,HIP 63125,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 63125,
Great Diamond,Beta Leonis,Denebola,11.8176630000,14.5720600000,2.14,Star Almanack expanded-bayer-stars.csv,HIP 57632,Star Almanack expanded-bayer-stars.csv,HIP 57632,
False Cross,Avior,Avior,8.3752360000,-59.5094830000,1.86,Pinned HYG v4.1,HIP 41037,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 41037,
False Cross,Aspidiske,Aspidiske,9.2848380000,-59.2752290000,2.21,Pinned HYG v4.1,HIP 45556,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 45556,
False Cross,Alsephina,Alsephina,8.7450590000,-54.7088210000,1.93,Pinned HYG v4.1,HIP 42913,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 42913,
False Cross,Markeb,Markeb,9.3685620000,-55.0106680000,2.47,Pinned HYG v4.1,HIP 45941,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 45941,
Southern Cross,Alpha Crucis,Acrux,12.4433110000,-63.0990920000,0.77,Pinned HYG v4.1; positional cross-match 0.166 arcsec from CDS Sesame/SIMBAD * alf Cru,HIP 60718,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 60718,
Southern Cross,Beta Crucis,Mimosa,12.7953590000,-59.6887640000,1.25,Star Almanack expanded-bayer-stars.csv,HIP 62434,Star Almanack expanded-bayer-stars.csv,HIP 62434,
Southern Cross,Gamma Crucis,Gacrux,12.5194290000,-57.1132120000,1.59,Pinned HYG v4.1,HIP 61084,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 61084,
Southern Cross,Delta Crucis,Imai,12.2524270000,-58.7489280000,2.79,Pinned HYG v4.1,HIP 59747,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 59747,
Southern Pointers,Alpha Centauri,Rigil Kentaurus,14.6601372220,-60.8339926940,-0.01,Star Almanack expanded-bayer-stars.csv,HIP 71683,Star Almanack expanded-bayer-stars.csv,HIP 71683,
Southern Pointers,Beta Centauri,Hadar,14.0637290000,-60.3730390000,0.61,Star Almanack expanded-bayer-stars.csv,HIP 68702,Star Almanack expanded-bayer-stars.csv,HIP 68702,
Coathanger,4 Vulpeculae,4 Vulpeculae,19.4246110000,19.7983650000,5.14,Pinned HYG v4.1,HIP 95498,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95498,
Coathanger,5 Vulpeculae,5 Vulpeculae,19.4370130000,20.0977330000,5.6,Pinned HYG v4.1,HIP 95560,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95560,
Coathanger,HD 182955,HD 182955,19.4413020000,19.8914930000,5.84,Pinned HYG v4.1,HIP 95582,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95582,
Coathanger,HD 182761,HD 182761,19.4228870000,20.2717270000,6.31,Pinned HYG v4.1,HIP 95487,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95487,
Coathanger,7 Vulpeculae,7 Vulpeculae,19.4891380000,20.2797370000,6.34,Pinned HYG v4.1,HIP 95818,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95818,
Coathanger,HD 182422,HD 182422,19.3963690000,20.2643560000,6.4,Pinned HYG v4.1,HIP 95340,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95340,
Coathanger,HD 182972,HD 182972,19.4418330000,20.2589830000,6.64,Pinned HYG v4.1,HIP 95584,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95584,
Coathanger,HD 183261,HD 183261,19.4650180000,20.2473830000,6.88,Pinned HYG v4.1,HIP 95700,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95700,
Coathanger,HD 182293,HD 182293,19.3867270000,20.2779430000,7.11,Pinned HYG v4.1,HIP 95291,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95291,
Coathanger,HD 182620,HD 182620,19.4123180000,19.9394250000,7.16,Pinned HYG v4.1,HIP 95432,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95432,
