hip,ra_h,dec_deg
112122,22.7110930207,-46.8845659400
112158,22.7167023820,30.2213086600
112405,22.7677009287,-81.3816173100
112440,22.7755117753,23.5656793900
112623,22.8092214240,-51.3167035400
112716,22.8265305073,-13.5925375600
112724,22.8280311567,66.2007108900
112748,22.8333612067,24.6016848600
112948,22.8754327520,-32.8754501900
112961,22.8769067947,-7.5796787800
113136,22.9108442333,-15.8207599400
113246,22.9324700033,-32.5397019600
113368,22.9607848820,-29.6218370100
113638,23.0146873193,-52.7541056200
113726,23.0320129180,42.3259786600
113881,23.0628703833,28.0824546200
113963,23.0793380133,15.2053678600
114341,23.1574339193,-21.1724855500
114724,23.2387034793,-6.0485268000
114855,23.2647991520,-9.0876955400
114971,23.2859704513,3.2822452400
114996,23.2905033453,-58.2359276200
115102,23.3137296673,-32.5318357400
115227,23.3390380780,5.3814515600
115438,23.3828615200,-20.1003450500
115738,23.4488625873,1.2558375800
115830,23.4661577260,6.3790972700
116231,23.5494967067,-37.8183589500
116584,23.6260299133,46.4591762100
116631,23.6356053127,43.2680761000
116727,23.6558283440,77.6319668100
116771,23.6657834220,5.6273537400
116805,23.6734560593,44.3339777600
116928,23.7008004940,1.7804172000
117245,23.7732046987,3.4868716400
117452,23.8154110873,-28.1300148000
118268,23.9885006627,6.8635937300
118322,23.9985861300,-65.5770777400
