caldwell,catalog,con,type,ra_h,dec_deg,mag,size_arcmin,name,source,best_instant_utc,best_date,iso
C81,NGC 6352,Ara,GC,17.4250,-48.4167,8.1,7,,Astronomical League Caldwell Program Object List,2025-07-26 19:16,2025-07-27,2025-W30-7
C82,NGC 6193,Ara,OC,16.6883,-48.7667,5.2,15,,Astronomical League Caldwell Program Object List,2025-07-15 17:13,2025-07-16,2025-W29-3
C83,NGC 4945,Cen,SBcG,13.0900,-49.4667,9.5,20x4,,Astronomical League Caldwell Program Object List,2025-05-24 07:00,2025-05-24,2025-W21-6
C84,NGC 5286,Cen,GC,13.7733,-51.3667,7.6,9,,Astronomical League Caldwell Program Object List,2025-06-03 08:25,2025-06-03,2025-W23-2
C85,IC 2391,Vel,OC,8.6700,-53.0667,2.5,50,Omicron Velorum Cluster,Astronomical League Caldwell Program Object List,2025-03-14 22:48,2025-03-15,2025-W11-6
C86,NGC 6397,Ara,GC,17.6783,-53.6667,5.6,26,,Astronomical League Caldwell Program Object List,2025-07-30 16:27,2025-07-31,2025-W31-4
C87,NGC 1261,Hor,GC,3.2050,-55.2167,8.4,7,,Astronomical League Caldwell Program Object List,2025-12-24 09:31,2025-12-24,2025-W52-3
C88,NGC 5823,Cir,OC,15.0950,-55.6000,7.9,10,,Astronomical League Caldwell Program Object List,2025-06-22 11:28,2025-06-22,2025-W25-7
C89,NGC 6087,Nor,OC,16.3150,-57.9000,5.4,12,S Normae Cluster,Astronomical League Caldwell Program Object List,2025-07-10 04:51,2025-07-10,2025-W28-4
C90,NGC 2867,Car,PN,9.3567,-58.3167,9.7,0.2,,Astronomical League Caldwell Program Object List,2025-03-26 05:51,2025-03-26,2025-W13-3
C91,NGC 3532,Car,OC,11.1067,-58.6667,3.0,55,,Astronomical League Caldwell Program Object List,2025-04-23 18:17,2025-04-24,2025-W17-4
C92,NGC 3372,Car,BN,10.7300,-59.8667,6.2,120x120,Carina Nebula,Astronomical League Caldwell Program Object List,2025-04-17 17:12,2025-04-18,2025-W16-5
C93,NGC 6752,Pav,GC,19.1817,-59.9833,5.4,20,,Astronomical League Caldwell Program Object List,2025-08-23 13:13,2025-08-24,2025-W34-7
C94,NGC 4755,Cru,OC,12.8933,-60.3333,4.2,10,Jewel Box Cluster,Astronomical League Caldwell Program Object List,2025-05-21 08:37,2025-05-21,2025-W21-3
C95,NGC 6025,TrA,OC,16.0617,-60.5000,5.1,12,,Astronomical League Caldwell Program Object List,2025-07-06 11:47,2025-07-06,2025-W27-7
C96,NGC 2516,Car,OC,7.9717,-60.8667,3.8,30,,Astronomical League Caldwell Program Object List,2025-03-03 14:27,2025-03-04,2025-W10-2
C97,NGC 3766,Cen,OC,11.6017,-61.6167,5.3,12,,Astronomical League Caldwell Program Object List,2025-05-01 14:10,2025-05-02,2025-W18-5
C98,NGC 4609,Cru,OC,12.7050,-62.9667,6.9,5,,Astronomical League Caldwell Program Object List,2025-05-18 12:50,2025-05-19,2025-W21-1
C99,Coalsack,Cru,DN,12.8833,-63.0000,,400x300,Coalsack Nebula,Astronomical League Caldwell Program Object List,2025-05-21 05:02,2025-05-21,2025-W21-3
C100,IC 2944,Cen,OC,11.6100,-63.0333,4.5,15,Lambda Centauri Cluster,Astronomical League Caldwell Program Object List,2025-05-01 17:18,2025-05-02,2025-W18-5
C101,NGC 6744,Pav,SBbG,19.1633,-63.8500,9.0,16x10,,Astronomical League Caldwell Program Object List,2025-08-23 06:00,2025-08-23,2025-W34-6
C102,IC 2602,Car,OC,10.7200,-64.4000,1.9,50,Theta Carinae Cluster,Astronomical League Caldwell Program Object List,2025-04-17 13:19,2025-04-18,2025-W16-5
C103,NGC 2070,Dor,BN,5.6450,-69.1000,1.0,40x25,Tarantula Nebula,Astronomical League Caldwell Program Object List,2025-01-26 23:30,2025-01-27,2025-W05-1
C104,NGC 362,Tuc,GC,1.0533,-70.8500,6.6,13,,Astronomical League Caldwell Program Object List,2025-11-24 21:20,2025-11-25,2025-W48-2
C105,NGC 4833,Mus,GC,12.9933,-70.8833,7.3,14,,Astronomical League Caldwell Program Object List,2025-05-22 20:27,2025-05-23,2025-W21-5
C106,NGC 104,Tuc,GC,0.4017,-72.0833,4.0,31,47 Tucanae,Astronomical League Caldwell Program Object List,2025-11-15 12:55,2025-11-16,2025-W46-7
C107,NGC 6101,Aps,GC,16.4300,-72.2000,9.3,11,,Astronomical League Caldwell Program Object List,2025-07-11 21:29,2025-07-12,2025-W28-6
C108,NGC 4372,Mus,GC,12.4300,-72.6667,7.8,19,,Astronomical League Caldwell Program Object List,2025-05-14 09:01,2025-05-14,2025-W20-3
C109,NGC 3195,Cha,PN,10.1583,-80.8667,,0.6,,Astronomical League Caldwell Program Object List,2025-04-08 10:08,2025-04-08,2025-W15-2
