caldwell,catalog,con,type,ra_h,dec_deg,mag,size_arcmin,name,source,best_instant_utc,best_date,iso
C1,NGC 188,Cep,OC,0.7400,85.3333,8.1,14,,Astronomical League Caldwell Program Object List,2025-11-20 10:16,2025-11-20,2025-W47-4
C2,NGC 40,Cep,PN,0.2167,72.5333,11.6,0.6,,Astronomical League Caldwell Program Object List,2025-11-12 19:54,2025-11-13,2025-W46-4
C3,NGC 4236,Dra,SbG,12.2783,69.4667,9.7,21x7,,Astronomical League Caldwell Program Object List,2025-05-12 01:31,2025-05-12,2025-W20-1
C4,NGC 7023,Cep,BN,21.0300,68.2000,6.8,18x18,Iris Nebula,Astronomical League Caldwell Program Object List,2025-09-23 06:25,2025-09-23,2025-W39-2
C5,IC 342,Cam,SBcG,3.7800,68.1000,9.2,18x17,,Astronomical League Caldwell Program Object List,2024-12-31 22:39,2025-01-01,2025-W01-3
C6,NGC 6543,Dra,PN,17.9767,66.6333,8.8,0.3/5.8,Cat's Eye Nebula,Astronomical League Caldwell Program Object List,2025-08-04 07:27,2025-08-04,2025-W32-1
C7,NGC 2403,Cam,ScG,7.6150,65.6000,8.9,18x10,,Astronomical League Caldwell Program Object List,2025-02-25 21:33,2025-02-26,2025-W09-3
C8,NGC 559,Cas,OC,1.4917,63.3000,9.5,4,,Astronomical League Caldwell Program Object List,2025-12-01 00:50,2025-12-01,2025-W49-1
C9,Sh2-155,Cep,BN,22.9467,62.6167,7.7,50x10,Cave Nebula,Astronomical League Caldwell Program Object List,2025-10-24 12:23,2025-10-25,2025-W43-6
C10,NGC 663,Cas,OC,1.7667,61.2500,7.1,16,,Astronomical League Caldwell Program Object List,2025-12-04 20:12,2025-12-05,2025-W49-5
C11,NGC 7635,Cas,BN,23.3450,61.2000,7.0,15x8,Bubble Nebula,Astronomical League Caldwell Program Object List,2025-10-30 17:03,2025-10-31,2025-W44-5
C12,NGC 6946,Cep,ScG,20.5800,60.1500,9.7,11x9,,Astronomical League Caldwell Program Object List,2025-09-15 17:46,2025-09-16,2025-W38-2
C13,NGC 457,Cas,OC,1.3183,58.3333,6.4,13,Phi Cassiopeiae Cluster,Astronomical League Caldwell Program Object List,2025-11-28 14:48,2025-11-29,2025-W48-6
C14,NGC 869/884,Per,OC,2.3333,57.1333,4.3,30+30,Double Cluster,Astronomical League Caldwell Program Object List,2025-12-12 14:17,2025-12-13,2025-W50-6
C15,NGC 6826,Cyg,PN,19.7467,50.5167,9.8,0.5/2.3,Blinking Planetary Nebula,Astronomical League Caldwell Program Object List,2025-09-01 20:17,2025-09-02,2025-W36-2
C16,NGC 7243,Lac,OC,22.2550,49.8833,6.4,21,,Astronomical League Caldwell Program Object List,2025-10-13 11:26,2025-10-13,2025-W42-1
C17,NGC 147,Cas,dE4G,0.5533,48.5000,9.3,13x8,,Astronomical League Caldwell Program Object List,2025-11-17 17:44,2025-11-18,2025-W47-2
C18,NGC 185,Cas,dE0G,0.6500,48.3333,9.2,12x9,,Astronomical League Caldwell Program Object List,2025-11-19 03:14,2025-11-19,2025-W47-3
C19,IC 5146,Cyg,BN,21.8917,47.2667,10.0,12x12,Cocoon Nebula,Astronomical League Caldwell Program Object List,2025-10-07 13:17,2025-10-08,2025-W41-3
C20,NGC 7000,Cyg,BN,20.9800,44.3333,6.0,120x100,North America Nebula,Astronomical League Caldwell Program Object List,2025-09-22 10:22,2025-09-22,2025-W39-1
C21,NGC 4449,CVn,IG,12.4700,44.1000,9.4,5x3,,Astronomical League Caldwell Program Object List,2025-05-14 23:36,2025-05-15,2025-W20-4
C22,NGC 7662,And,PN,23.4317,42.5500,9.2,0.3/2.2,,Astronomical League Caldwell Program Object List,2025-11-01 01:01,2025-11-01,2025-W44-6
C23,NGC 891,And,SbG,2.3767,42.3500,9.9,14x2,,Astronomical League Caldwell Program Object List,2025-12-13 04:27,2025-12-13,2025-W50-6
C24,NGC 1275,Per,SeyfertG,3.3300,41.5167,11.6,2.6x1,Perseus A,Astronomical League Caldwell Program Object List,2025-12-26 02:04,2025-12-26,2025-W52-5
C25,NGC 2419,Lyn,GC,7.6350,38.8833,10.4,4.1,,Astronomical League Caldwell Program Object List,2025-02-26 05:11,2025-02-26,2025-W09-3
C26,NGC 4244,CVn,SG,12.2917,37.8167,10.6,16x2.5,,Astronomical League Caldwell Program Object List,2025-05-12 06:26,2025-05-12,2025-W20-1
C27,NGC 6888,Cyg,BN,20.2000,38.3500,7.5,20x10,Crescent Nebula,Astronomical League Caldwell Program Object List,2025-09-09 09:17,2025-09-09,2025-W37-2
C28,NGC 752,And,OC,1.9633,37.6833,5.7,50,,Astronomical League Caldwell Program Object List,2025-12-07 13:03,2025-12-08,2025-W50-1
C29,NGC 5005,CVn,SbG,13.1817,37.0500,9.8,5.4x2,,Astronomical League Caldwell Program Object List,2025-05-25 15:40,2025-05-26,2025-W22-1
C30,NGC 7331,Peg,SbG,22.6183,34.4167,9.5,11x4,,Astronomical League Caldwell Program Object List,2025-10-19 07:36,2025-10-19,2025-W42-7
C31,IC 405,Aur,BN,5.2700,34.2667,6.0,30x19,Flaming Star Nebula,Astronomical League Caldwell Program Object List,2025-01-21 14:21,2025-01-22,2025-W04-3
C32,NGC 4631,CVn,ScG,12.7017,32.5333,9.3,15x3,Whale Galaxy,Astronomical League Caldwell Program Object List,2025-05-18 11:38,2025-05-18,2025-W20-7
C33,NGC 6992/6995,Cyg,SN,20.9400,31.7167,,60x8,Eastern Veil Nebula,Astronomical League Caldwell Program Object List,2025-09-21 18:19,2025-09-22,2025-W39-1
C34,NGC 6960,Cyg,SN,20.7617,30.7167,,70x6,Western Veil Nebula,Astronomical League Caldwell Program Object List,2025-09-18 18:45,2025-09-19,2025-W38-5
C35,NGC 4889,Com,E4G,13.0017,27.9833,11.4,3x2,,Astronomical League Caldwell Program Object List,2025-05-22 23:28,2025-05-23,2025-W21-5
C36,NGC 4559,Com,ScG,12.6000,27.9667,9.8,10x4,,Astronomical League Caldwell Program Object List,2025-05-16 22:50,2025-05-17,2025-W20-6
C37,NGC 6885,Vul,OC,20.2000,26.4833,5.7,7,,Astronomical League Caldwell Program Object List,2025-09-09 09:17,2025-09-09,2025-W37-2
C38,NGC 4565,Com,SbG,12.6050,25.9833,9.6,16x3,Needle Galaxy,Astronomical League Caldwell Program Object List,2025-05-17 00:39,2025-05-17,2025-W20-6
C39,NGC 2392,Gem,PN,7.4867,20.9167,9.9,0.2/0.7,Clown Face Nebula,Astronomical League Caldwell Program Object List,2025-02-23 20:46,2025-02-24,2025-W09-1
C40,NGC 3626,Leo,SbG,11.3350,18.3500,10.9,3x2,,Astronomical League Caldwell Program Object List,2025-04-27 09:21,2025-04-27,2025-W17-7
C41,Hyades,Tau,OC,4.4500,16.0000,1.0,330,Hyades,Astronomical League Caldwell Program Object List,2025-01-10 02:44,2025-01-10,2025-W02-5
C42,NGC 7006,Del,GC,21.0250,16.1833,10.6,2.8,,Astronomical League Caldwell Program Object List,2025-09-23 04:25,2025-09-23,2025-W39-2
C43,NGC 7814,Peg,SbG,0.0550,16.1500,10.5,6x2,,Astronomical League Caldwell Program Object List,2025-11-10 10:35,2025-11-10,2025-W46-1
C44,NGC 7479,Peg,SBbG,23.0817,12.3167,11.0,4x3,,Astronomical League Caldwell Program Object List,2025-10-26 15:06,2025-10-27,2025-W44-1
C45,NGC 5248,Boo,ScG,13.6250,8.8833,10.2,6x4,,Astronomical League Caldwell Program Object List,2025-06-01 04:22,2025-06-01,2025-W22-7
C46,NGC 2261,Mon,BN,6.6533,8.7333,10.0,2x1,Hubble's Variable Nebula,Astronomical League Caldwell Program Object List,2025-02-10 22:30,2025-02-11,2025-W07-2
C47,NGC 6934,Del,GC,20.5700,7.4000,8.9,5.9,,Astronomical League Caldwell Program Object List,2025-09-15 13:45,2025-09-16,2025-W38-2
C48,NGC 2775,Cnc,SaG,9.1717,7.0333,10.3,4.5x3,,Astronomical League Caldwell Program Object List,2025-03-23 04:42,2025-03-23,2025-W12-7
C49,NGC 2237-2239,Mon,BN,6.5383,5.0500,,80x60,Rosette Nebula,Astronomical League Caldwell Program Object List,2025-02-09 04:38,2025-02-09,2025-W06-7
C50,NGC 2244,Mon,OC,6.5400,4.8667,4.8,24,,Astronomical League Caldwell Program Object List,2025-02-09 05:15,2025-02-09,2025-W06-7
C51,IC 1613,Cet,IG,1.0800,2.1167,9.0,12x11,,Astronomical League Caldwell Program Object List,2025-11-25 06:23,2025-11-25,2025-W48-2
C52,NGC 4697,Vir,E4G,12.8100,-5.8000,9.3,6x3,,Astronomical League Caldwell Program Object List,2025-05-20 02:41,2025-05-20,2025-W21-2
C53,NGC 3115,Sex,E6G,10.0867,-7.7167,9.1,8x3,Spindle Galaxy,Astronomical League Caldwell Program Object List,2025-04-07 06:00,2025-04-07,2025-W15-1
C54,NGC 2506,Mon,OC,8.0033,-10.7833,7.6,7,,Astronomical League Caldwell Program Object List,2025-03-04 02:40,2025-03-04,2025-W10-2
C55,NGC 7009,Aqr,PN,21.0700,-11.3667,8.3,2.5/1,Saturn Nebula,Astronomical League Caldwell Program Object List,2025-09-23 22:27,2025-09-24,2025-W39-3
C56,NGC 246,Cet,PN,0.7833,-11.8833,8.0,3.8,,Astronomical League Caldwell Program Object List,2025-11-21 01:10,2025-11-21,2025-W47-5
C57,NGC 6822,Sgr,IG,19.7483,-14.8000,9.3,10x9,Barnard's Galaxy,Astronomical League Caldwell Program Object List,2025-09-01 20:55,2025-09-02,2025-W36-2
C58,NGC 2360,CMa,OC,7.2967,-15.6167,7.2,13,,Astronomical League Caldwell Program Object List,2025-02-20 21:00,2025-02-21,2025-W08-5
C59,NGC 3242,Hya,PN,10.4133,-18.6333,8.6,0.3/21,Ghost of Jupiter,Astronomical League Caldwell Program Object List,2025-04-12 14:00,2025-04-13,2025-W15-7
C60,NGC 4038,Crv,ScG,12.0317,-18.8667,11.3,2.6x1.8,Antennae Galaxies,Astronomical League Caldwell Program Object List,2025-05-08 06:39,2025-05-08,2025-W19-4
C61,NGC 4039,Crv,ScG,12.0317,-18.8833,13.0,3.2x2.2,Antennae Galaxies,Astronomical League Caldwell Program Object List,2025-05-08 06:39,2025-05-08,2025-W19-4
C62,NGC 247,Cet,SG,0.7850,-20.7667,8.9,20x7,,Astronomical League Caldwell Program Object List,2025-11-21 01:45,2025-11-21,2025-W47-5
C63,NGC 7293,Aqr,PN,22.4933,-20.8000,6.5,13,Helix Nebula,Astronomical League Caldwell Program Object List,2025-10-17 07:37,2025-10-17,2025-W42-5
C64,NGC 2362,CMa,OC,7.3133,-24.9500,4.1,8,Tau Canis Majoris Cluster,Astronomical League Caldwell Program Object List,2025-02-21 03:15,2025-02-21,2025-W08-5
C65,NGC 253,Scl,SG,0.7933,-25.2833,7.1,25x7,Sculptor Galaxy,Astronomical League Caldwell Program Object List,2025-11-21 04:36,2025-11-21,2025-W47-5
C66,NGC 5694,Hya,GC,14.6600,-26.5333,10.2,3.6,,Astronomical League Caldwell Program Object List,2025-06-16 04:54,2025-06-16,2025-W25-1
C67,NGC 1097,For,SBbG,2.7717,-30.2833,9.2,9x6,,Astronomical League Caldwell Program Object List,2025-12-18 12:57,2025-12-19,2025-W51-5
C68,NGC 6729,CrA,BN,19.0317,-36.9500,9.7,1.0,R Coronae Australis Nebula,Astronomical League Caldwell Program Object List,2025-08-21 02:37,2025-08-21,2025-W34-4
C69,NGC 6302,Sco,PN,17.2283,-37.1000,12.8,0.8,Bug Nebula,Astronomical League Caldwell Program Object List,2025-07-23 19:32,2025-07-24,2025-W30-4
C70,NGC 300,Scl,SdG,0.9150,-37.6833,8.1,20x13,,Astronomical League Caldwell Program Object List,2025-11-22 22:15,2025-11-23,2025-W47-7
C71,NGC 2477,Pup,OC,7.8717,-38.5500,5.8,27,,Astronomical League Caldwell Program Object List,2025-03-01 23:54,2025-03-02,2025-W09-7
C72,NGC 55,Scl,SBG,0.2483,-39.1833,8.2,32x6,,Astronomical League Caldwell Program Object List,2025-11-13 07:03,2025-11-13,2025-W46-4
C73,NGC 1851,Col,GC,5.2350,-40.0500,7.3,11,,Astronomical League Caldwell Program Object List,2025-01-21 02:24,2025-01-21,2025-W04-2
C74,NGC 3132,Vel,PN,10.1283,-40.4333,8.2,0.8,Southern Ring Nebula,Astronomical League Caldwell Program Object List,2025-04-07 22:21,2025-04-08,2025-W15-2
C75,NGC 6124,Sco,OC,16.4267,-40.6667,5.8,29,,Astronomical League Caldwell Program Object List,2025-07-11 20:19,2025-07-12,2025-W28-6
C76,NGC 6231,Sco,OC,16.9000,-41.8000,2.6,15,,Astronomical League Caldwell Program Object List,2025-07-18 20:58,2025-07-19,2025-W29-6
C77,NGC 5128,Cen,PecG,13.4250,-43.0167,7.0,18x14,Centaurus A,Astronomical League Caldwell Program Object List,2025-05-29 05:54,2025-05-29,2025-W22-4
C78,NGC 6541,CrA,GC,18.1333,-43.7000,6.6,13,,Astronomical League Caldwell Program Object List,2025-08-06 18:14,2025-08-07,2025-W32-4
C79,NGC 3201,Vel,GC,10.2933,-46.4167,6.7,18,,Astronomical League Caldwell Program Object List,2025-04-10 15:04,2025-04-11,2025-W15-5
C80,NGC 5139,Cen,GC,13.4467,-47.4833,3.6,36,Omega Centauri,Astronomical League Caldwell Program Object List,2025-05-29 13:34,2025-05-30,2025-W22-5
