caldwell,catalog,con,type,ra_h,dec_deg,mag,size_arcmin,name,source,best_instant_utc,best_date,iso
C98,NGC 4609,Cru,OC,12.7050,-62.9667,6.9,5,,Astronomical League Caldwell Program Object List,2026-05-18 18:35,2026-05-19,2026-W21-2
C99,Coalsack,Cru,DN,12.8833,-63.0000,,400x300,Coalsack Nebula,Astronomical League Caldwell Program Object List,2026-05-21 10:48,2026-05-21,2026-W21-4
C100,IC 2944,Cen,OC,11.6100,-63.0333,4.5,15,Lambda Centauri Cluster,Astronomical League Caldwell Program Object List,2026-05-01 23:04,2026-05-02,2026-W18-6
C101,NGC 6744,Pav,SBbG,19.1633,-63.8500,9.0,16x10,,Astronomical League Caldwell Program Object List,2026-08-23 11:46,2026-08-23,2026-W34-7
C102,IC 2602,Car,OC,10.7200,-64.4000,1.9,50,Theta Carinae Cluster,Astronomical League Caldwell Program Object List,2026-04-17 19:05,2026-04-18,2026-W16-6
C103,NGC 2070,Dor,BN,5.6450,-69.1000,1.0,40x25,Tarantula Nebula,Astronomical League Caldwell Program Object List,2026-01-27 05:17,2026-01-27,2026-W05-2
C104,NGC 362,Tuc,GC,1.0533,-70.8500,6.6,13,,Astronomical League Caldwell Program Object List,2026-11-25 03:07,2026-11-25,2026-W48-3
C105,NGC 4833,Mus,GC,12.9933,-70.8833,7.3,14,,Astronomical League Caldwell Program Object List,2026-05-23 02:13,2026-05-23,2026-W21-6
C106,NGC 104,Tuc,GC,0.4017,-72.0833,4.0,31,47 Tucanae,Astronomical League Caldwell Program Object List,2026-11-15 18:42,2026-11-16,2026-W47-1
C107,NGC 6101,Aps,GC,16.4300,-72.2000,9.3,11,,Astronomical League Caldwell Program Object List,2026-07-12 03:14,2026-07-12,2026-W28-7
C108,NGC 4372,Mus,GC,12.4300,-72.6667,7.8,19,,Astronomical League Caldwell Program Object List,2026-05-14 14:47,2026-05-15,2026-W20-5
C109,NGC 3195,Cha,PN,10.1583,-80.8667,,0.6,,Astronomical League Caldwell Program Object List,2026-04-08 15:55,2026-04-09,2026-W15-4
