finest_ngc,catalog,name,con,type,ra_h,dec_deg,mag,source,best_instant_utc,best_date,iso
56,NGC 3521,MCG 0-28-30,Leo,Gal,11.0969,-0.0350,9.9,RASC Finest NGC Checklist v2.1a,2027-04-24 02:04,2027-04-24,2027-W16-6
57,NGC 3607,MCG 3-29-20,Leo,Gal,11.2818,18.0531,10.9,RASC Finest NGC Checklist v2.1a,2027-04-27 00:40,2027-04-27,2027-W17-2
58,NGC 3628,Arp 317,Leo,Gal,11.3380,13.5911,10,RASC Finest NGC Checklist v2.1a,2027-04-27 22:02,2027-04-28,2027-W17-3
59,NGC 4111,MCG 7-25-26,CVn,Gal,12.1176,43.0653,11.7,RASC Finest NGC Checklist v2.1a,2027-05-10 01:56,2027-05-10,2027-W19-1
60,NGC 4214,MCG 6-27-42,CVn,Gal,12.2609,36.3281,10.2,RASC Finest NGC Checklist v2.1a,2027-05-12 06:40,2027-05-12,2027-W19-3
63,NGC 4490,Cocoon Galaxy,CVn,Gal,12.5101,41.6436,9.8,RASC Finest NGC Checklist v2.1a,2027-05-16 01:43,2027-05-16,2027-W19-7
65,NGC 4656,Hockey Stick or Crowbar,CVn,Gal,12.7327,32.1703,9.7,RASC Finest NGC Checklist v2.1a,2027-05-19 10:21,2027-05-19,2027-W20-3
67,NGC 5033,MCG 6-29-62,CVn,Gal,13.2243,36.5936,10.7,RASC Finest NGC Checklist v2.1a,2027-05-26 18:20,2027-05-27,2027-W21-4
68,NGC 4274,MCG 5-29-60,Com,Gal,12.3307,29.6142,11.3,RASC Finest NGC Checklist v2.1a,2027-05-13 08:16,2027-05-13,2027-W19-4
69,NGC 4414,MCG 5-29-85,Com,Gal,12.4409,31.2228,11,RASC Finest NGC Checklist v2.1a,2027-05-15 00:31,2027-05-15,2027-W19-6
70,NGC 4494,MCG 4-30-2,Com,Gal,12.5233,25.7750,10.7,RASC Finest NGC Checklist v2.1a,2027-05-16 06:31,2027-05-16,2027-W19-7
73,NGC 4725,MCG 4-30-22,Com,Gal,12.8407,25.5008,9.9,RASC Finest NGC Checklist v2.1a,2027-05-21 01:16,2027-05-21,2027-W20-5
75,NGC 4361,,Crv,PN,12.4086,-18.7850,10.9,RASC Finest NGC Checklist v2.1a,2027-05-14 12:44,2027-05-15,2027-W19-6
76,NGC 4216,MCG 2-31-72,Vir,Gal,12.2651,13.1500,11,RASC Finest NGC Checklist v2.1a,2027-05-12 08:13,2027-05-12,2027-W19-3
77,NGC 4388,MCG 2-32-41,Vir,Gal,12.4297,12.6622,11.9,RASC Finest NGC Checklist v2.1a,2027-05-14 20:26,2027-05-15,2027-W19-6
78,NGC 4438,The Eyes with 4435,Vir,Gal,12.4628,13.0089,10.9,RASC Finest NGC Checklist v2.1a,2027-05-15 08:30,2027-05-15,2027-W19-6
79,NGC 4517,often mislabeled NGC 4437,Vir,Gal,12.5460,0.1150,11.1,RASC Finest NGC Checklist v2.1a,2027-05-16 14:46,2027-05-17,2027-W20-1
80,NGC 4526,MCG 1-32-100,Vir,Gal,12.5675,7.6992,10.6,RASC Finest NGC Checklist v2.1a,2027-05-16 22:34,2027-05-17,2027-W20-1
