name,abbr,figure_part,centroid_ra_h,centroid_dec_deg,sampled_area_sq_deg,centroid_step_deg,center_best_instant_utc,center_best_date,center_iso
Taurus,Tau,,4.411554,17.088890,797.424,0.100,2027-01-10 01:35,2027-01-10,2027-W01-7
Telescopium,Tel,,19.329227,-51.226152,251.590,0.100,2027-08-26 10:40,2027-08-26,2027-W34-4
Triangulum,Tri,,2.136239,32.141533,132.043,0.100,2027-12-10 09:25,2027-12-10,2027-W49-5
Triangulum Australe,TrA,,16.063491,-65.842061,109.888,0.100,2027-07-06 23:56,2027-07-07,2027-W27-3
Tucana,Tuc,,23.839918,-64.620242,293.772,0.100,2027-11-07 17:09,2027-11-08,2027-W45-1
Ursa Major,UMa,,11.039294,54.377561,1279.717,0.100,2027-04-23 03:59,2027-04-23,2027-W16-5
Ursa Minor,UMi,,14.578768,86.983605,618.763,0.100,2027-06-15 12:17,2027-06-16,2027-W24-3
Vela,Vel,,9.611228,-48.053795,499.744,0.100,2027-03-30 22:04,2027-03-31,2027-W13-3
Virgo,Vir,,13.288780,-2.672088,1294.508,0.100,2027-05-27 17:13,2027-05-28,2027-W21-5
Volans,Vol,,7.801263,-69.665085,141.272,0.100,2027-03-01 08:24,2027-03-01,2027-W09-1
Vulpecula,Vul,,20.285016,24.858873,268.294,0.100,2027-09-11 06:54,2027-09-11,2027-W36-6
