finest_ngc,catalog,name,con,type,ra_h,dec_deg,mag,source,best_instant_utc,best_date,iso
28,NGC 2024,Flame Nebula,Ori,EN,5.6950,-1.8500,,RASC Finest NGC Checklist v2.1a,2025-01-27 16:53,2025-01-28,2025-W05-2
29,NGC 2194,Collinder 87,Ori,OC,6.2292,12.8067,10,RASC Finest NGC Checklist v2.1a,2025-02-04 13:19,2025-02-05,2025-W06-3
30,NGC 2371,Gemini Nebula; 2372?,Gem,PN,7.4263,29.4906,11.2,RASC Finest NGC Checklist v2.1a,2025-02-22 21:53,2025-02-23,2025-W08-7
34,NGC 2359,Thor's Helmet,CMa,EN,7.3083,-13.2333,,RASC Finest NGC Checklist v2.1a,2025-02-21 01:22,2025-02-21,2025-W08-5
35,NGC 2440,,Pup,PN,7.6987,-18.2086,11.5,RASC Finest NGC Checklist v2.1a,2025-02-27 05:31,2025-02-27,2025-W09-4
36,NGC 2539,Collinder 176,Pup,OC,8.1769,-12.8183,8,RASC Finest NGC Checklist v2.1a,2025-03-06 21:58,2025-03-07,2025-W10-5
38,NGC 2655,Arp 225,Cam,Gal,8.9275,78.2236,11,RASC Finest NGC Checklist v2.1a,2025-03-19 04:14,2025-03-19,2025-W12-3
39,NGC 2683,UFO Galaxy,Lyn,Gal,8.8781,33.4211,10,RASC Finest NGC Checklist v2.1a,2025-03-18 08:45,2025-03-18,2025-W12-2
40,NGC 2841,MCG 9-16-5,UMa,Gal,9.3674,50.9764,10,RASC Finest NGC Checklist v2.1a,2025-03-26 10:05,2025-03-26,2025-W13-3
41,NGC 3079,MCG 9-17-10,UMa,Gal,10.0329,55.6806,11.4,RASC Finest NGC Checklist v2.1a,2025-04-06 08:51,2025-04-06,2025-W14-7
42,NGC 3184,MCG 7-21-37,UMa,Gal,10.3047,41.4244,10.4,RASC Finest NGC Checklist v2.1a,2025-04-10 19:32,2025-04-11,2025-W15-5
43,NGC 3877,MCG 8-22-2,UMa,Gal,11.7688,47.4947,11.8,RASC Finest NGC Checklist v2.1a,2025-05-04 04:51,2025-05-04,2025-W18-7
44,NGC 3941,MCG 6-26-51,UMa,Gal,11.8820,36.9864,11.3,RASC Finest NGC Checklist v2.1a,2025-05-05 23:05,2025-05-06,2025-W19-2
45,NGC 4026,MCG 9-20-52,UMa,Gal,11.9903,50.9617,11.7,RASC Finest NGC Checklist v2.1a,2025-05-07 15:19,2025-05-08,2025-W19-4
46,NGC 4088,Arp 18,UMa,Gal,12.0927,50.5394,11.3,RASC Finest NGC Checklist v2.1a,2025-05-09 05:13,2025-05-09,2025-W19-5
47,NGC 4157,MCG 9-20-106,UMa,Gal,12.1847,50.4853,12.1,RASC Finest NGC Checklist v2.1a,2025-05-10 15:08,2025-05-11,2025-W19-7
48,NGC 4605,MCG 10-18-74,UMa,Gal,12.6665,61.6092,10.8,RASC Finest NGC Checklist v2.1a,2025-05-17 22:55,2025-05-18,2025-W20-7
51,NGC 3003,MCG 6-22-13,LMi,Gal,9.8099,33.4219,12.2,RASC Finest NGC Checklist v2.1a,2025-04-02 16:59,2025-04-03,2025-W14-4
52,NGC 3344,MCG 4-25-46,LMi,Gal,10.7253,24.9222,10.5,RASC Finest NGC Checklist v2.1a,2025-04-17 15:22,2025-04-18,2025-W16-5
53,NGC 3432,Arp 206,LMi,Gal,10.8753,36.6192,11.6,RASC Finest NGC Checklist v2.1a,2025-04-20 01:21,2025-04-20,2025-W16-7
54,NGC 2903,,Leo,Gal,9.5360,21.5008,10,RASC Finest NGC Checklist v2.1a,2025-03-29 04:46,2025-03-29,2025-W13-6
55,NGC 3384,MCG 2-28-12,Leo,Gal,10.8047,12.6286,10.9,RASC Finest NGC Checklist v2.1a,2025-04-18 22:06,2025-04-19,2025-W16-6
56,NGC 3521,MCG 0-28-30,Leo,Gal,11.0969,-0.0350,9.9,RASC Finest NGC Checklist v2.1a,2025-04-23 14:32,2025-04-24,2025-W17-4
57,NGC 3607,MCG 3-29-20,Leo,Gal,11.2818,18.0531,10.9,RASC Finest NGC Checklist v2.1a,2025-04-26 13:07,2025-04-27,2025-W17-7
58,NGC 3628,Arp 317,Leo,Gal,11.3380,13.5911,10,RASC Finest NGC Checklist v2.1a,2025-04-27 10:29,2025-04-27,2025-W17-7
59,NGC 4111,MCG 7-25-26,CVn,Gal,12.1176,43.0653,11.7,RASC Finest NGC Checklist v2.1a,2025-05-09 14:24,2025-05-10,2025-W19-6
60,NGC 4214,MCG 6-27-42,CVn,Gal,12.2609,36.3281,10.2,RASC Finest NGC Checklist v2.1a,2025-05-11 19:08,2025-05-12,2025-W20-1
63,NGC 4490,Cocoon Galaxy,CVn,Gal,12.5101,41.6436,9.8,RASC Finest NGC Checklist v2.1a,2025-05-15 14:11,2025-05-16,2025-W20-5
65,NGC 4656,Hockey Stick or Crowbar,CVn,Gal,12.7327,32.1703,9.7,RASC Finest NGC Checklist v2.1a,2025-05-18 22:50,2025-05-19,2025-W21-1
67,NGC 5033,MCG 6-29-62,CVn,Gal,13.2243,36.5936,10.7,RASC Finest NGC Checklist v2.1a,2025-05-26 06:48,2025-05-26,2025-W22-1
68,NGC 4274,MCG 5-29-60,Com,Gal,12.3307,29.6142,11.3,RASC Finest NGC Checklist v2.1a,2025-05-12 20:44,2025-05-13,2025-W20-2
69,NGC 4414,MCG 5-29-85,Com,Gal,12.4409,31.2228,11,RASC Finest NGC Checklist v2.1a,2025-05-14 12:59,2025-05-15,2025-W20-4
70,NGC 4494,MCG 4-30-2,Com,Gal,12.5233,25.7750,10.7,RASC Finest NGC Checklist v2.1a,2025-05-15 18:59,2025-05-16,2025-W20-5
73,NGC 4725,MCG 4-30-22,Com,Gal,12.8407,25.5008,9.9,RASC Finest NGC Checklist v2.1a,2025-05-20 13:44,2025-05-21,2025-W21-3
75,NGC 4361,,Crv,PN,12.4086,-18.7850,10.9,RASC Finest NGC Checklist v2.1a,2025-05-14 01:12,2025-05-14,2025-W20-3
76,NGC 4216,MCG 2-31-72,Vir,Gal,12.2651,13.1500,11,RASC Finest NGC Checklist v2.1a,2025-05-11 20:41,2025-05-12,2025-W20-1
77,NGC 4388,MCG 2-32-41,Vir,Gal,12.4297,12.6622,11.9,RASC Finest NGC Checklist v2.1a,2025-05-14 08:54,2025-05-14,2025-W20-3
78,NGC 4438,The Eyes with 4435,Vir,Gal,12.4628,13.0089,10.9,RASC Finest NGC Checklist v2.1a,2025-05-14 20:58,2025-05-15,2025-W20-4
79,NGC 4517,often mislabeled NGC 4437,Vir,Gal,12.5460,0.1150,11.1,RASC Finest NGC Checklist v2.1a,2025-05-16 03:14,2025-05-16,2025-W20-5
80,NGC 4526,MCG 1-32-100,Vir,Gal,12.5675,7.6992,10.6,RASC Finest NGC Checklist v2.1a,2025-05-16 11:02,2025-05-16,2025-W20-5
81,NGC 4535,Lost Galaxy,Vir,Gal,12.5723,8.1978,10.5,RASC Finest NGC Checklist v2.1a,2025-05-16 12:47,2025-05-17,2025-W20-6
82a,NGC 4567,Siamese Twins,Vir,Gal,12.6091,11.2578,12.1,RASC Finest NGC Checklist v2.1a,2025-05-17 02:08,2025-05-17,2025-W20-6
82b,NGC 4568,Siamese Twins,Vir,Gal,12.6095,11.2386,11.7,RASC Finest NGC Checklist v2.1a,2025-05-17 02:16,2025-05-17,2025-W20-6
83,NGC 4699,MCG -1-33-13,Vir,Gal,12.8173,-8.6644,10.4,RASC Finest NGC Checklist v2.1a,2025-05-20 05:19,2025-05-20,2025-W21-2
84,NGC 4762,MCG 2-33-33,Vir,Gal,12.8822,11.2306,11.1,RASC Finest NGC Checklist v2.1a,2025-05-21 04:38,2025-05-21,2025-W21-3
85,NGC 5746,MCG 0-38-5,Vir,Gal,14.7489,1.9547,11.4,RASC Finest NGC Checklist v2.1a,2025-06-17 11:41,2025-06-17,2025-W25-2
86,NGC 5466,,Boo,GC,14.0908,28.5350,9.2,RASC Finest NGC Checklist v2.1a,2025-06-07 23:19,2025-06-08,2025-W23-7
87,NGC 5907,Splinter Galaxy,Dra,Gal,15.2649,56.3289,11.1,RASC Finest NGC Checklist v2.1a,2025-06-24 22:19,2025-06-25,2025-W26-3
88,NGC 6503,MCG 12-17-9,Dra,Gal,17.8240,70.1444,10.8,RASC Finest NGC Checklist v2.1a,2025-08-01 22:29,2025-08-02,2025-W31-6
90,NGC 6210,Turtle Nebula,Her,PN,16.7415,23.8000,9.7,RASC Finest NGC Checklist v2.1a,2025-07-16 12:12,2025-07-17,2025-W29-4
91,NGC 6369,Little Ghost Nebula,Oph,PN,17.4889,-23.7594,11,RASC Finest NGC Checklist v2.1a,2025-07-27 18:41,2025-07-28,2025-W31-1
92,NGC 6572,Blue Racquetball,Oph,PN,18.2018,6.8533,8,RASC Finest NGC Checklist v2.1a,2025-08-07 20:04,2025-08-08,2025-W32-5
93,NGC 6633,Collinder 380,Oph,OC,18.4542,6.5083,5.6,RASC Finest NGC Checklist v2.1a,2025-08-11 19:53,2025-08-12,2025-W33-2
94,NGC 6712,,Sct,GC,18.8844,-8.7050,8.1,RASC Finest NGC Checklist v2.1a,2025-08-18 17:21,2025-08-19,2025-W34-2
95,NGC 6781,PN G041.8-02.9,Aql,PN,19.3078,6.5386,11.8,RASC Finest NGC Checklist v2.1a,2025-08-25 14:42,2025-08-26,2025-W35-2
96,NGC 6819,Collinder 403,Cyg,OC,19.6883,40.1867,9.5,RASC Finest NGC Checklist v2.1a,2025-08-31 21:05,2025-09-01,2025-W36-1
101,NGC 7027,Magic Carpet,Cyg,PN,21.1171,42.2361,9.6,RASC Finest NGC Checklist v2.1a,2025-09-24 17:19,2025-09-25,2025-W39-4
102,NGC 6445,He 2-290,Sgr,PN,17.8209,-20.0094,13,RASC Finest NGC Checklist v2.1a,2025-08-01 21:20,2025-08-02,2025-W31-6
103,NGC 6520,Collinder 361,Sgr,OC,18.0567,-27.8883,7.6,RASC Finest NGC Checklist v2.1a,2025-08-05 13:26,2025-08-06,2025-W32-3
104,NGC 6818,Little Gem,Sgr,PN,19.7327,-14.1533,10,RASC Finest NGC Checklist v2.1a,2025-09-01 14:43,2025-09-02,2025-W36-2
105,NGC 6802,Collinder 400,Vul,OC,19.5097,20.2617,11.7,RASC Finest NGC Checklist v2.1a,2025-08-28 22:18,2025-08-29,2025-W35-5
106,NGC 6940,Collinder 424,Vul,OC,20.5739,28.2833,7.2,RASC Finest NGC Checklist v2.1a,2025-09-15 15:19,2025-09-16,2025-W38-2
107,NGC 6939,Collinder 423,Cep,OC,20.5250,60.6617,10.1,RASC Finest NGC Checklist v2.1a,2025-09-14 19:41,2025-09-15,2025-W38-1
109,NGC 7129,Small Cluster Nebula,Cep,RN,21.7167,66.1167,11.5,RASC Finest NGC Checklist v2.1a,2025-10-04 16:12,2025-10-05,2025-W40-7
