finest_ngc,catalog,name,con,type,ra_h,dec_deg,mag,source,best_instant_utc,best_date,iso
5,NGC 7789,OCL 269,Cas,OC,23.9567,56.7083,7.5,RASC Finest NGC Checklist v2.1a,2025-11-08 23:29,2025-11-09,2025-W45-7
7,NGC 281,PacMan Nebula,Cas,EN,0.8833,56.6167,7.4,RASC Finest NGC Checklist v2.1a,2025-11-22 11:26,2025-11-22,2025-W47-6
10,IC 289,PN G138.8+02.8,Cas,PN,3.1720,61.3169,12,RASC Finest NGC Checklist v2.1a,2025-12-23 22:49,2025-12-24,2025-W52-3
14,NGC 772,Arp 78,Ari,Gal,1.9889,19.0078,10.6,RASC Finest NGC Checklist v2.1a,2025-12-07 21:29,2025-12-08,2025-W50-1
16,NGC 936,MCG 0-7-17,Cet,Gal,2.4604,-1.1556,11.2,RASC Finest NGC Checklist v2.1a,2025-12-14 07:44,2025-12-14,2025-W50-7
18,NGC 1023,Arp 135,Per,Gal,2.6733,39.0633,9.6,RASC Finest NGC Checklist v2.1a,2025-12-17 04:59,2025-12-17,2025-W51-3
19,NGC 1491,Sh 2-206,Per,EN,4.0557,51.3214,,RASC Finest NGC Checklist v2.1a,2025-01-04 16:48,2025-01-05,2025-W01-7
20,NGC 1501,PN G144.5+06.5,Cam,PN,4.1164,60.9206,12,RASC Finest NGC Checklist v2.1a,2025-01-05 12:43,2025-01-06,2025-W02-1
21,NGC 1232,Arp 41,Eri,Gal,3.1626,-20.5808,10.6,RASC Finest NGC Checklist v2.1a,2025-12-23 19:46,2025-12-24,2025-W52-3
22,NGC 1535,Cleopatra's Eye,Eri,PN,4.2377,-12.7394,9.4,RASC Finest NGC Checklist v2.1a,2025-01-07 04:37,2025-01-07,2025-W02-2
23,NGC 1514,Crystal Ball Nebula,Tau,PN,4.1547,30.7758,10.8,RASC Finest NGC Checklist v2.1a,2025-01-06 01:18,2025-01-06,2025-W02-1
24,NGC 1931,,Aur,E/RN,5.5244,34.2486,14,RASC Finest NGC Checklist v2.1a,2025-01-25 05:43,2025-01-25,2025-W04-6
25,NGC 1788,vdB 33,Ori,RN,5.1150,-3.3333,,RASC Finest NGC Checklist v2.1a,2025-01-19 09:35,2025-01-19,2025-W03-7
26,NGC 1973,with NGC 1975 & 1977,Ori,E/RN,5.5850,-4.7333,7,RASC Finest NGC Checklist v2.1a,2025-01-26 02:41,2025-01-26,2025-W04-7
27,NGC 2022,PN G196.6-10.9,Ori,PN,5.7017,9.0864,11.7,RASC Finest NGC Checklist v2.1a,2025-01-27 19:13,2025-01-28,2025-W05-2
