messier,ra_h,best_instant_utc,best_date,iso
M1,5.575000,2025-01-25 23:13,2025-01-26,2025-W04-7
M2,21.558333,2025-10-02 01:24,2025-10-02,2025-W40-4
M3,13.703333,2025-06-02 07:53,2025-06-02,2025-W23-1
M4,16.393333,2025-07-11 08:31,2025-07-11,2025-W28-5
M5,15.310000,2025-06-25 13:57,2025-06-26,2025-W26-4
M6,17.668333,2025-07-30 12:46,2025-07-31,2025-W31-4
M7,17.898333,2025-08-03 02:10,2025-08-03,2025-W31-7
M8,18.063333,2025-08-05 15:55,2025-08-06,2025-W32-3
M9,17.320000,2025-07-25 04:55,2025-07-25,2025-W30-5
M10,16.951667,2025-07-19 15:32,2025-07-20,2025-W29-7
M11,18.851667,2025-08-18 04:40,2025-08-18,2025-W34-1
M12,16.786667,2025-07-17 04:21,2025-07-17,2025-W29-4
M13,16.695000,2025-07-15 19:37,2025-07-16,2025-W29-3
M14,17.626667,2025-07-29 21:23,2025-07-30,2025-W31-3
M15,21.500000,2025-10-01 02:13,2025-10-01,2025-W40-3
M16,18.313333,2025-08-09 14:17,2025-08-10,2025-W32-7
M17,18.346667,2025-08-10 02:56,2025-08-10,2025-W32-7
M18,18.331667,2025-08-09 21:15,2025-08-10,2025-W32-7
M19,17.043333,2025-07-21 00:34,2025-07-21,2025-W30-1
M20,18.038333,2025-08-05 06:32,2025-08-05,2025-W32-2
M21,18.076667,2025-08-05 20:56,2025-08-06,2025-W32-3
M22,18.606667,2025-08-14 06:13,2025-08-14,2025-W33-4
M23,17.946667,2025-08-03 20:13,2025-08-04,2025-W32-1
M24,18.306667,2025-08-09 11:45,2025-08-09,2025-W32-6
M25,18.528333,2025-08-13 00:12,2025-08-13,2025-W33-3
M26,18.753333,2025-08-16 14:39,2025-08-17,2025-W33-7
M27,19.993333,2025-09-05 22:36,2025-09-06,2025-W36-6
M28,18.408333,2025-08-11 02:24,2025-08-11,2025-W33-1
M29,20.398333,2025-09-12 16:49,2025-09-13,2025-W37-6
M30,21.673333,2025-10-03 23:02,2025-10-04,2025-W40-6
M31,0.711667,2025-11-20 00:31,2025-11-20,2025-W47-4
M32,0.711667,2025-11-20 00:31,2025-11-20,2025-W47-4
M33,1.565000,2025-12-02 01:16,2025-12-02,2025-W49-2
M34,2.700000,2025-12-17 13:40,2025-12-18,2025-W51-4
M35,6.148333,2025-02-03 08:28,2025-02-03,2025-W06-1
M36,5.601667,2025-01-26 08:27,2025-01-26,2025-W04-7
M37,5.873333,2025-01-30 07:15,2025-01-30,2025-W05-4
M38,5.478333,2025-01-24 13:49,2025-01-25,2025-W04-6
M39,21.536667,2025-10-01 16:48,2025-10-02,2025-W40-4
M40,12.370000,2025-05-13 11:06,2025-05-13,2025-W20-2
M41,6.783333,2025-02-12 22:07,2025-02-13,2025-W07-4
M42,5.590000,2025-01-26 04:25,2025-01-26,2025-W04-7
M43,5.593333,2025-01-26 05:34,2025-01-26,2025-W04-7
M44,8.668333,2025-03-14 22:09,2025-03-15,2025-W11-6
M45,3.783333,2024-12-31 23:44,2025-01-01,2025-W01-3
M46,7.696667,2025-02-27 04:44,2025-02-27,2025-W09-4
M47,7.610000,2025-02-25 19:39,2025-02-26,2025-W09-3
M48,8.230000,2025-03-07 18:37,2025-03-08,2025-W10-6
M49,12.496667,2025-05-15 09:18,2025-05-15,2025-W20-4
M50,7.053333,2025-02-17 01:56,2025-02-17,2025-W08-1
M51,13.498333,2025-05-30 07:47,2025-05-30,2025-W22-5
M52,23.403333,2025-10-31 14:34,2025-11-01,2025-W44-6
M53,13.215000,2025-05-26 03:30,2025-05-26,2025-W22-1
M54,18.918333,2025-08-19 06:31,2025-08-19,2025-W34-2
M55,19.666667,2025-08-31 12:29,2025-09-01,2025-W36-1
