asterism,member_count,hull_member_count,hull_members,geometry_method,centroid_ra_h,centroid_dec_deg,area_sr,area_sq_deg,best_instant_utc,best_date,iso
Big Dipper,7,5,Beta Ursae Majoris; Gamma Ursae Majoris; Eta Ursae Majoris; Zeta Ursae Majoris; Alpha Ursae Majoris,spherical-convex-hull-area-centroid,12.31126658,56.64516875,0.036640944867,120.285126,2025-05-12 13:37,2025-05-13,2025-W20-2
Little Dipper,7,6,Polaris; Beta Ursae Minoris; Gamma Ursae Minoris; Eta Ursae Minoris; Epsilon Ursae Minoris; Delta Ursae Minoris,spherical-convex-hull-area-centroid,15.62422074,79.96978456,0.018386639168,60.359776,2025-06-30 03:02,2025-06-30,2025-W27-1
Cassiopeia's W,5,4,Beta Cassiopeiae; Alpha Cassiopeiae; Delta Cassiopeiae; Epsilon Cassiopeiae,spherical-convex-hull-area-centroid,0.93662011,60.27211961,0.010496245116,34.457140,2025-11-23 05:38,2025-11-23,2025-W47-7
Orion's Belt,3,3,Mintaka; Alnilam; Alnitak,spherical-convex-hull-area-centroid,5.60542524,-1.14799897,0.000037459594,0.122973,2025-01-26 09:46,2025-01-26,2025-W04-7
Orion's Sword,3,3,Theta Orionis; Iota Orionis; 42 Orionis,spherical-convex-hull-area-centroid,5.58940844,-5.37931844,0.000005516847,0.018111,2025-01-26 04:13,2025-01-26,2025-W04-7
Water Jar,4,3,Gamma Aquarii; Eta Aquarii; Pi Aquarii,spherical-convex-hull-area-centroid,22.45717412,-0.04256559,0.001267545558,4.161107,2025-10-16 17:42,2025-10-17,2025-W42-5
Great Square of Pegasus,4,4,Markab; Algenib; Alpheratz; Scheat,spherical-convex-hull-area-centroid,23.63356454,21.93132664,0.063174610029,207.390011,2025-11-04 02:53,2025-11-04,2025-W45-2
Sickle of Leo,6,5,Epsilon Leonis; Alpha Leonis; Gamma Leonis; Zeta Leonis; Mu Leonis,spherical-convex-hull-area-centroid,10.07717275,20.22216347,0.017424445583,57.201081,2025-04-07 02:16,2025-04-07,2025-W15-1
Keystone of Hercules,4,4,Zeta Herculis; Epsilon Herculis; Pi Herculis; Eta Herculis,spherical-convex-hull-area-centroid,16.91601691,34.89010019,0.011282784244,37.039196,2025-07-19 02:43,2025-07-19,2025-W29-6
Northern Cross,5,4,Beta Cygni; Epsilon Cygni; Alpha Cygni; Delta Cygni,spherical-convex-hull-area-centroid,20.13208882,37.76123240,0.055235993406,181.329070,2025-09-08 06:05,2025-09-08,2025-W37-1
Teapot of Sagittarius,8,6,Gamma Sagittarii; Epsilon Sagittarii; Zeta Sagittarii; Tau Sagittarii; Sigma Sagittarii; Lambda Sagittarii,spherical-convex-hull-area-centroid,18.59680677,-29.51831082,0.021032962152,69.047142,2025-08-14 02:26,2025-08-14,2025-W33-4
Scorpius's Fishhook,13,8,Gamma Scorpii; Zeta Scorpii; Eta Scorpii; Theta Scorpii; Iota Scorpii; Kappa Scorpii; Lambda Scorpii; Nu Scorpii,spherical-convex-hull-area-centroid,16.38633862,-31.95433949,0.108097745120,354.863964,2025-07-11 06:02,2025-07-11,2025-W28-5
Circlet of Pisces,7,7,Gamma Piscium; Kappa Piscium; Lambda Piscium; TX Piscium; Iota Piscium; Theta Piscium; 7 Piscium,spherical-convex-hull-area-centroid,23.52563542,3.74411786,0.007852094373,25.776905,2025-11-02 11:29,2025-11-02,2025-W44-7
Head of Cetus,5,5,Xi Ceti; Gamma Ceti; Alpha Ceti; Lambda Ceti; Mu Ceti,spherical-convex-hull-area-centroid,2.78766289,6.76066884,0.011712389610,38.449507,2025-12-18 18:08,2025-12-19,2025-W51-5
Hyades / V of Taurus,5,5,Gamma Tauri; Theta Tauri; Aldebaran; Epsilon Tauri; Delta Tauri,spherical-convex-hull-area-centroid,4.46151299,17.06831432,0.002157221083,7.081739,2025-01-10 06:33,2025-01-10,2025-W02-5
Pleiades,7,5,Electra; Merope; Atlas; Pleione; Taygeta,spherical-convex-hull-area-centroid,3.77840926,24.16998915,0.000086869754,0.285177,2024-12-31 22:08,2025-01-01,2025-W01-3
Summer Triangle,3,3,Vega; Altair; Deneb,spherical-convex-hull-area-centroid,19.70399953,31.51605834,0.127348954140,418.061955,2025-09-01 03:19,2025-09-01,2025-W36-1
Winter Triangle,3,3,Betelgeuse; Sirius; Procyon,spherical-convex-hull-area-centroid,6.77633067,-1.34189429,0.093234250149,306.069988,2025-02-12 19:32,2025-02-13,2025-W07-4
Winter Hexagon / Winter Circle,6,6,Aldebaran; Rigel; Sirius; Procyon; Pollux; Capella,spherical-convex-hull-area-centroid,6.19752301,14.35492646,0.590359036456,1938.034394,2025-02-04 02:00,2025-02-04,2025-W06-2
Spring Triangle,3,3,Denebola; Spica; Arcturus,spherical-convex-hull-area-centroid,13.16054640,7.89631944,0.162860638099,534.639937,2025-05-25 08:08,2025-05-25,2025-W21-7
Great Diamond,4,4,Beta Leonis; Alpha Virginis; Alpha Bootis; Alpha Canum Venaticorum,spherical-convex-hull-area-centroid,13.09630159,14.77610501,0.275510116528,904.446360,2025-05-24 09:15,2025-05-24,2025-W21-6
False Cross,4,4,Avior; Aspidiske; Markeb; Alsephina,spherical-convex-hull-area-centroid,8.93528253,-57.34741519,0.008660455190,28.430597,2025-03-19 07:18,2025-03-19,2025-W12-3
Southern Cross,4,4,Delta Crucis; Alpha Crucis; Beta Crucis; Gamma Crucis,spherical-convex-hull-area-centroid,12.50515805,-59.84748143,0.003875058779,12.721068,2025-05-15 12:23,2025-05-16,2025-W20-5
Southern Pointers,2,2,Alpha Centauri; Beta Centauri,great-circle-midpoint,14.35979960,-60.67819885,0.000000000000,0.000000,2025-06-11 20:50,2025-06-12,2025-W24-4
Coathanger,10,5,HD 182293; HD 182620; 4 Vulpeculae; HD 182955; 7 Vulpeculae,spherical-convex-hull-area-centroid,19.43392788,20.11339881,0.000111420392,0.365772,2025-08-27 16:22,2025-08-28,2025-W35-4
