iso_week,monday_utc,sun,moon,mercury,venus,mars,jupiter,saturn,ceres,uranus,neptune
2027-W31,2027-08-02,♌ 9°31′,♌ 3°32′,♋ 29°05′,♌ 6°45′,♎ 10°26′,♍ 1°24′,♈ 27°50′,♍ 0°23′,♊ 9°09′,♈ 6°31′
2027-W32,2027-08-09,♌ 16°13′,♏ 13°47′,♌ 13°31′,♌ 15°23′,♎ 14°43′,♍ 2°53′,♈ 27°53′,♍ 3°33′,♊ 9°22′,♈ 6°25′
2027-W33,2027-08-16,♌ 22°56′,♒ 8°41′,♌ 27°40′,♌ 24°02′,♎ 19°04′,♍ 4°23′,♈ 27°51′,♍ 6°44′,♊ 9°34′,♈ 6°18′
2027-W34,2027-08-23,♌ 29°40′,♉ 3°59′,♍ 10°49′,♍ 2°42′,♎ 23°30′,♍ 5°53′,♈ 27°44′,♍ 9°56′,♊ 9°43′,♈ 6°10′
2027-W35,2027-08-30,♍ 6°25′,♌ 12°00′,♍ 22°51′,♍ 11°22′,♎ 28°00′,♍ 7°24′,♈ 27°32′,♍ 13°09′,♊ 9°50′,♈ 6°01′
2027-W36,2027-09-06,♍ 13°12′,♏ 22°28′,♎ 3°50′,♍ 20°03′,♏ 2°34′,♍ 8°56′,♈ 27°15′,♍ 16°22′,♊ 9°55′,♈ 5°51′
2027-W37,2027-09-13,♍ 20°00′,♒ 17°18′,♎ 13°46′,♍ 28°44′,♏ 7°13′,♍ 10°27′,♈ 26°54′,♍ 19°35′,♊ 9°57′,♈ 5°40′
2027-W38,2027-09-20,♍ 26°49′,♉ 13°59′,♎ 22°31′,♎ 7°26′,♏ 11°56′,♍ 11°57′,♈ 26°29′,♍ 22°49′,♊ 9°57′,♈ 5°29′
2027-W39,2027-09-27,♎ 3°40′,♌ 21°10′,♎ 29°40′,♎ 16°07′,♏ 16°43′,♍ 13°26′,♈ 26°01′,♍ 26°02′,♊ 9°54′,♈ 5°17′
2027-W40,2027-10-04,♎ 10°33′,♐ 0°35′,♏ 4°13′,♎ 24°49′,♏ 21°34′,♍ 14°53′,♈ 25°31′,♍ 29°15′,♊ 9°49′,♈ 5°05′
2027-W41,2027-10-11,♎ 17°27′,♒ 25°31′,♏ 4°12′,♏ 3°31′,♏ 26°29′,♍ 16°18′,♈ 24°58′,♎ 2°27′,♊ 9°41′,♈ 4°54′
2027-W42,2027-10-18,♎ 24°23′,♉ 23°57′,♎ 28°03′,♏ 12°13′,♐ 1°27′,♍ 17°41′,♈ 24°25′,♎ 5°37′,♊ 9°31′,♈ 4°43′
2027-W43,2027-10-25,♏ 1°21′,♍ 1°15′,♎ 20°32′,♏ 20°55′,♐ 6°29′,♍ 19°01′,♈ 23°52′,♎ 8°47′,♊ 9°19′,♈ 4°32′
2027-W44,2027-11-01,♏ 8°20′,♐ 8°30′,♎ 20°21′,♏ 29°36′,♐ 11°34′,♍ 20°17′,♈ 23°19′,♎ 11°55′,♊ 9°06′,♈ 4°23′
2027-W45,2027-11-08,♏ 15°21′,♓ 3°24′,♎ 27°17′,♐ 8°18′,♐ 16°43′,♍ 21°29′,♈ 22°48′,♎ 15°01′,♊ 8°50′,♈ 4°14′
2027-W46,2027-11-15,♏ 22°23′,♊ 3°19′,♏ 7°20′,♐ 16°59′,♐ 21°54′,♍ 22°36′,♈ 22°20′,♎ 18°05′,♊ 8°34′,♈ 4°07′
2027-W47,2027-11-22,♏ 29°26′,♍ 12°02′,♏ 18°16′,♐ 25°40′,♐ 27°09′,♍ 23°38′,♈ 21°56′,♎ 21°06′,♊ 8°17′,♈ 4°00′
2027-W48,2027-11-29,♐ 6°31′,♐ 16°42′,♏ 29°19′,♑ 4°20′,♑ 2°27′,♍ 24°34′,♈ 21°35′,♎ 24°03′,♊ 7°59′,♈ 3°56′
2027-W49,2027-12-06,♐ 13°37′,♓ 11°11′,♐ 10°20′,♑ 13°00′,♑ 7°47′,♍ 25°23′,♈ 21°19′,♎ 26°57′,♊ 7°42′,♈ 3°53′
2027-W50,2027-12-13,♐ 20°44′,♊ 11°47′,♐ 21°20′,♑ 21°39′,♑ 13°09′,♍ 26°05′,♈ 21°08′,♎ 29°47′,♊ 7°24′,♈ 3°51′
2027-W51,2027-12-20,♐ 27°51′,♍ 22°54′,♑ 2°23′,♒ 0°16′,♑ 18°34′,♍ 26°39′,♈ 21°02′,♏ 2°32′,♊ 7°08′,♈ 3°52′
2027-W52,2027-12-27,♑ 4°59′,♐ 25°25′,♑ 13°34′,♒ 8°53′,♑ 24°00′,♍ 27°05′,♈ 21°02′,♏ 5°11′,♊ 6°52′,♈ 3°53′
