finest_ngc,catalog,name,con,type,ra_h,dec_deg,mag,source
56,NGC 3521,MCG 0-28-30,Leo,Gal,11.0969,-0.0350,9.9,RASC Finest NGC Checklist v2.1a
57,NGC 3607,MCG 3-29-20,Leo,Gal,11.2818,18.0531,10.9,RASC Finest NGC Checklist v2.1a
58,NGC 3628,Arp 317,Leo,Gal,11.3380,13.5911,10,RASC Finest NGC Checklist v2.1a
59,NGC 4111,MCG 7-25-26,CVn,Gal,12.1176,43.0653,11.7,RASC Finest NGC Checklist v2.1a
60,NGC 4214,MCG 6-27-42,CVn,Gal,12.2609,36.3281,10.2,RASC Finest NGC Checklist v2.1a
61,NGC 4244,Silver Needle,CVn,Gal,12.2915,37.8069,10.4,RASC Finest NGC Checklist v2.1a
62,NGC 4449,MCG 7-26-9,CVn,Gal,12.4697,44.0925,9.5,RASC Finest NGC Checklist v2.1a
63,NGC 4490,Cocoon Galaxy,CVn,Gal,12.5101,41.6436,9.8,RASC Finest NGC Checklist v2.1a
64,NGC 4631,Whale Galaxy,CVn,Gal,12.7021,32.5428,9.5,RASC Finest NGC Checklist v2.1a
65,NGC 4656,Hockey Stick or Crowbar,CVn,Gal,12.7327,32.1703,9.7,RASC Finest NGC Checklist v2.1a
66,NGC 5005,MCG 6-29-52,CVn,Gal,13.1823,37.0583,10.5,RASC Finest NGC Checklist v2.1a
67,NGC 5033,MCG 6-29-62,CVn,Gal,13.2243,36.5936,10.7,RASC Finest NGC Checklist v2.1a
68,NGC 4274,MCG 5-29-60,Com,Gal,12.3307,29.6142,11.3,RASC Finest NGC Checklist v2.1a
69,NGC 4414,MCG 5-29-85,Com,Gal,12.4409,31.2228,11,RASC Finest NGC Checklist v2.1a
70,NGC 4494,MCG 4-30-2,Com,Gal,12.5233,25.7750,10.7,RASC Finest NGC Checklist v2.1a
71,NGC 4559,MCG 5-30-30,Com,Gal,12.5994,27.9597,10.3,RASC Finest NGC Checklist v2.1a
72,NGC 4565,Needle Galaxy,Com,Gal,12.6058,25.9875,10.1,RASC Finest NGC Checklist v2.1a
73,NGC 4725,MCG 4-30-22,Com,Gal,12.8407,25.5008,9.9,RASC Finest NGC Checklist v2.1a
74,NGC 4038,The Antennae with 4039,Crv,Gal,12.0314,-18.8675,10.9,RASC Finest NGC Checklist v2.1a
75,NGC 4361,,Crv,PN,12.4086,-18.7850,10.9,RASC Finest NGC Checklist v2.1a
76,NGC 4216,MCG 2-31-72,Vir,Gal,12.2651,13.1500,11,RASC Finest NGC Checklist v2.1a
77,NGC 4388,MCG 2-32-41,Vir,Gal,12.4297,12.6622,11.9,RASC Finest NGC Checklist v2.1a
78,NGC 4438,The Eyes with 4435,Vir,Gal,12.4628,13.0089,10.9,RASC Finest NGC Checklist v2.1a
79,NGC 4517,often mislabeled NGC 4437,Vir,Gal,12.5460,0.1150,11.1,RASC Finest NGC Checklist v2.1a
80,NGC 4526,MCG 1-32-100,Vir,Gal,12.5675,7.6992,10.6,RASC Finest NGC Checklist v2.1a
81,NGC 4535,Lost Galaxy,Vir,Gal,12.5723,8.1978,10.5,RASC Finest NGC Checklist v2.1a
82a,NGC 4567,Siamese Twins,Vir,Gal,12.6091,11.2578,12.1,RASC Finest NGC Checklist v2.1a
82b,NGC 4568,Siamese Twins,Vir,Gal,12.6095,11.2386,11.7,RASC Finest NGC Checklist v2.1a
83,NGC 4699,MCG -1-33-13,Vir,Gal,12.8173,-8.6644,10.4,RASC Finest NGC Checklist v2.1a
84,NGC 4762,MCG 2-33-33,Vir,Gal,12.8822,11.2306,11.1,RASC Finest NGC Checklist v2.1a
85,NGC 5746,MCG 0-38-5,Vir,Gal,14.7489,1.9547,11.4,RASC Finest NGC Checklist v2.1a
86,NGC 5466,,Boo,GC,14.0908,28.5350,9.2,RASC Finest NGC Checklist v2.1a
87,NGC 5907,Splinter Galaxy,Dra,Gal,15.2649,56.3289,11.1,RASC Finest NGC Checklist v2.1a
88,NGC 6503,MCG 12-17-9,Dra,Gal,17.8240,70.1444,10.8,RASC Finest NGC Checklist v2.1a
89,NGC 6543,Cat's Eye Nebula,Dra,PN,17.9759,66.6331,8.3,RASC Finest NGC Checklist v2.1a
90,NGC 6210,Turtle Nebula,Her,PN,16.7415,23.8000,9.7,RASC Finest NGC Checklist v2.1a
91,NGC 6369,Little Ghost Nebula,Oph,PN,17.4889,-23.7594,11,RASC Finest NGC Checklist v2.1a
92,NGC 6572,Blue Racquetball,Oph,PN,18.2018,6.8533,8,RASC Finest NGC Checklist v2.1a
93,NGC 6633,Collinder 380,Oph,OC,18.4542,6.5083,5.6,RASC Finest NGC Checklist v2.1a
94,NGC 6712,,Sct,GC,18.8844,-8.7050,8.1,RASC Finest NGC Checklist v2.1a
95,NGC 6781,PN G041.8-02.9,Aql,PN,19.3078,6.5386,11.8,RASC Finest NGC Checklist v2.1a
96,NGC 6819,Collinder 403,Cyg,OC,19.6883,40.1867,9.5,RASC Finest NGC Checklist v2.1a
97,NGC 6826,Blinking Planetary,Cyg,PN,19.7467,50.5250,8.8,RASC Finest NGC Checklist v2.1a
98,NGC 6888,Crescent Nebula,Cyg,EN,20.2033,38.3167,10,RASC Finest NGC Checklist v2.1a
99a,NGC 6992,Veil Nebula (East),Cyg,SNR,20.9400,31.7167,7,RASC Finest NGC Checklist v2.1a
99b,NGC 6960,Veil Nebula (West),Cyg,SNR,20.7617,30.7167,7,RASC Finest NGC Checklist v2.1a
100,NGC 7000,North American Nebula,Cyg,EN,20.9750,44.3744,4,RASC Finest NGC Checklist v2.1a
101,NGC 7027,Magic Carpet,Cyg,PN,21.1171,42.2361,9.6,RASC Finest NGC Checklist v2.1a
102,NGC 6445,He 2-290,Sgr,PN,17.8209,-20.0094,13,RASC Finest NGC Checklist v2.1a
103,NGC 6520,Collinder 361,Sgr,OC,18.0567,-27.8883,7.6,RASC Finest NGC Checklist v2.1a
104,NGC 6818,Little Gem,Sgr,PN,19.7327,-14.1533,10,RASC Finest NGC Checklist v2.1a
105,NGC 6802,Collinder 400,Vul,OC,19.5097,20.2617,11.7,RASC Finest NGC Checklist v2.1a
106,NGC 6940,Collinder 424,Vul,OC,20.5739,28.2833,7.2,RASC Finest NGC Checklist v2.1a
107,NGC 6939,Collinder 423,Cep,OC,20.5250,60.6617,10.1,RASC Finest NGC Checklist v2.1a
108,NGC 6946,Fireworks Galaxy; Arp 29,Cyg,Gal,20.5813,60.1539,9.8,RASC Finest NGC Checklist v2.1a
109,NGC 7129,Small Cluster Nebula,Cep,RN,21.7167,66.1167,11.5,RASC Finest NGC Checklist v2.1a
110,NGC 40,Bowtie Nebula,Cep,PN,0.2169,72.5219,10.7,RASC Finest NGC Checklist v2.1a
